,Gender,Age,Income,Holding Period,Debt Amount,First Time Investing,Credit Score,Education Level,Investment Amount,Crypto Output
250,Male,18-39,"110,000-129,999",Position Trader,"100,000-149,999",No,630-689,High School,"150,000+",0
251,Other,60+,"50,000-69,999",Scalp Trader,"$150,000+",Yes,720-850,Bachelors,"$80,000-149,999",2
252,Female,18-39,"70,000-89,999",Intraday Trader,"$150,000+",No,630-689,High School,"150,000+",0
253,Other,40-59,"50,000-69,999",Scalp Trader,"$150,000+",No,690-719,Masters,"$1,000-79,999",1
254,Female,18-39,"70,000-89,999",Position Trader,"$150,000+",Not sure,690-719,High School,"$80,000-149,999",0
255,Other,60+,"50,000-69,999",Position Trader,"$150,000+",Yes,690-719,High School,"$1,000-79,999",0
256,Female,18-39,"50,000-69,999",One Day,"$50,000-99,999",Yes,300-629,Masters,"150,000+",2
257,Female,18-39,"20,000-49,000",Position Trader,"$150,000+",No,690-719,Bachelors,"$1,000-79,999",2
258,Male,60+,"130,000+",Scalp Trader,"$50,000-99,999",No,690-719,PhD,"$1,000-79,999",2
259,Female,18-39,"90,000-109,999",Intraday Trader,"$150,000+",Yes,720-850,Bachelors,"$80,000-149,999",1
260,Female,18-39,"130,000+",Intraday Trader,"$50,000-99,999",Not sure,690-719,Masters,"$80,000-149,999",2
261,Other,60+,"110,000-129,999",Position Trader,"$50,000-99,999",Not sure,690-719,PhD,"150,000+",1
262,Female,60+,"70,000-89,999",One Day,"100,000-149,999",No,720-850,Masters,"$80,000-149,999",0
263,Female,40-59,"110,000-129,999",Swing Trader,"$10,000-49,999",Yes,630-689,Bachelors,"$1,000-79,999",1
264,Other,18-39,"90,000-109,999",Intraday Trader,"$150,000+",Yes,690-719,Masters,"$1,000-79,999",2
265,Male,40-59,"50,000-69,999",Position Trader,"100,000-149,999",Yes,630-689,High School,"$80,000-149,999",2
266,Female,40-59,"90,000-109,999",Scalp Trader,"$150,000+",Not sure,690-719,Masters,"$1,000-79,999",0
267,Female,18-39,"110,000-129,999",Position Trader,"$150,000+",Yes,630-689,Bachelors,"$1,000-79,999",2
268,Female,18-39,"50,000-69,999",Position Trader,"$150,000+",Yes,630-689,PhD,"$1,000-79,999",2
269,Female,60+,"20,000-49,000",Swing Trader,"100,000-149,999",No,630-689,PhD,"$1,000-79,999",2
270,Female,40-59,"50,000-69,999",Position Trader,"100,000-149,999",No,690-719,Masters,"$80,000-149,999",2
271,Male,60+,"110,000-129,999",One Day,"100,000-149,999",Yes,690-719,High School,"$1,000-79,999",0
272,Female,18-39,"130,000+",Intraday Trader,"$150,000+",No,630-689,Masters,"$80,000-149,999",2
273,Female,40-59,"90,000-109,999",Position Trader,"$50,000-99,999",No,630-689,Bachelors,"150,000+",0
274,Other,40-59,"20,000-49,000",One Day,"$150,000+",No,720-850,Bachelors,"$80,000-149,999",0
275,Female,18-39,"110,000-129,999",Scalp Trader,"$150,000+",Yes,630-689,Bachelors,"150,000+",1
276,Male,18-39,"90,000-109,999",One Day,"$150,000+",Yes,300-629,PhD,"150,000+",0
277,Female,18-39,"110,000-129,999",One Day,"$150,000+",Yes,300-629,Bachelors,"150,000+",0
278,Male,18-39,"130,000+",Position Trader,"$150,000+",No,300-629,PhD,"150,000+",2
279,Female,18-39,"130,000+",Intraday Trader,"$10,000-49,999",Yes,690-719,PhD,"150,000+",2
280,Other,60+,"110,000-129,999",One Day,"$50,000-99,999",Yes,630-689,Masters,"150,000+",0
281,Other,40-59,"130,000+",One Day,"$50,000-99,999",Yes,690-719,Bachelors,"$80,000-149,999",0
282,Female,40-59,"110,000-129,999",Intraday Trader,"$150,000+",Yes,300-629,Masters,"$1,000-79,999",0
283,Male,18-39,"110,000-129,999",Scalp Trader,"$150,000+",No,300-629,Masters,"$80,000-149,999",2
284,Male,40-59,"130,000+",Scalp Trader,"$150,000+",Yes,720-850,High School,"150,000+",0
285,Other,40-59,"130,000+",Position Trader,"100,000-149,999",Not sure,630-689,Masters,"$1,000-79,999",2
286,Female,18-39,"130,000+",Swing Trader,"$150,000+",Yes,720-850,High School,"$80,000-149,999",0
287,Other,18-39,"70,000-89,999",Swing Trader,"$50,000-99,999",Not sure,630-689,Bachelors,"$1,000-79,999",1
288,Female,18-39,"20,000-49,000",Position Trader,"100,000-149,999",Not sure,720-850,PhD,"150,000+",0
289,Female,60+,"130,000+",Scalp Trader,"$10,000-49,999",Yes,300-629,Masters,"$80,000-149,999",1
290,Female,60+,"90,000-109,999",Scalp Trader,"$50,000-99,999",Yes,720-850,Bachelors,"$1,000-79,999",0
291,Female,60+,"90,000-109,999",Position Trader,"$50,000-99,999",Yes,720-850,PhD,"$1,000-79,999",1
292,Female,18-39,"130,000+",Position Trader,"100,000-149,999",No,690-719,Masters,"150,000+",1
293,Female,60+,"20,000-49,000",Swing Trader,"100,000-149,999",No,690-719,Masters,"$80,000-149,999",0
294,Male,40-59,"130,000+",Swing Trader,"$150,000+",No,630-689,PhD,"$80,000-149,999",1
295,Male,60+,"20,000-49,000",One Day,"$50,000-99,999",No,690-719,PhD,"$1,000-79,999",2
296,Female,40-59,"110,000-129,999",One Day,"$10,000-49,999",No,630-689,Masters,"$1,000-79,999",2
297,Male,40-59,"90,000-109,999",Scalp Trader,"100,000-149,999",No,690-719,High School,"$1,000-79,999",0
298,Other,60+,"90,000-109,999",Scalp Trader,"$150,000+",Yes,690-719,Bachelors,"$80,000-149,999",0
299,Male,18-39,"70,000-89,999",Position Trader,"100,000-149,999",No,630-689,Bachelors,"$80,000-149,999",2
300,Other,40-59,"50,000-69,999",One Day,"$50,000-99,999",Yes,690-719,Masters,"$80,000-149,999",2
301,Other,18-39,"90,000-109,999",One Day,"$150,000+",No,300-629,Masters,"$1,000-79,999",0
302,Female,40-59,"130,000+",Scalp Trader,"100,000-149,999",Not sure,300-629,Masters,"$1,000-79,999",0
303,Female,60+,"90,000-109,999",Intraday Trader,"$10,000-49,999",Yes,300-629,PhD,"$80,000-149,999",1
304,Male,18-39,"110,000-129,999",One Day,"$150,000+",No,630-689,Masters,"$1,000-79,999",2
305,Female,18-39,"70,000-89,999",One Day,"100,000-149,999",Yes,690-719,PhD,"$80,000-149,999",2
306,Male,60+,"130,000+",Scalp Trader,"$50,000-99,999",No,300-629,High School,"150,000+",2
307,Male,40-59,"110,000-129,999",Scalp Trader,"$150,000+",Not sure,300-629,Bachelors,"$1,000-79,999",2
308,Female,18-39,"50,000-69,999",One Day,"$50,000-99,999",Yes,300-629,High School,"$1,000-79,999",2
309,Male,40-59,"110,000-129,999",Position Trader,"100,000-149,999",Not sure,720-850,Masters,"$80,000-149,999",2
310,Other,40-59,"90,000-109,999",Position Trader,"$150,000+",No,720-850,PhD,"$1,000-79,999",1
311,Other,18-39,"130,000+",Scalp Trader,"$10,000-49,999",Yes,630-689,Bachelors,"$80,000-149,999",0
312,Male,40-59,"50,000-69,999",Position Trader,"100,000-149,999",Yes,300-629,Bachelors,"$80,000-149,999",2
313,Male,18-39,"20,000-49,000",Swing Trader,"$150,000+",Yes,630-689,High School,"150,000+",1
314,Male,18-39,"50,000-69,999",Swing Trader,"$150,000+",Not sure,720-850,Masters,"$1,000-79,999",1
315,Female,60+,"70,000-89,999",One Day,"$10,000-49,999",Yes,690-719,Bachelors,"$80,000-149,999",2
316,Female,40-59,"130,000+",One Day,"$150,000+",No,690-719,High School,"$80,000-149,999",0
317,Male,40-59,"50,000-69,999",Position Trader,"$150,000+",Yes,630-689,Masters,"$80,000-149,999",2
318,Male,60+,"90,000-109,999",Position Trader,"$150,000+",Yes,720-850,Masters,"$1,000-79,999",2
319,Other,40-59,"90,000-109,999",Scalp Trader,"$150,000+",Yes,720-850,Bachelors,"$80,000-149,999",0
320,Female,40-59,"70,000-89,999",One Day,"$10,000-49,999",No,720-850,High School,"$1,000-79,999",0
321,Female,60+,"20,000-49,000",Swing Trader,"$150,000+",No,720-850,Bachelors,"150,000+",0
322,Male,60+,"110,000-129,999",One Day,"$50,000-99,999",Not sure,630-689,High School,"$80,000-149,999",1
323,Male,18-39,"50,000-69,999",Position Trader,"$50,000-99,999",No,720-850,Masters,"$1,000-79,999",0
324,Female,18-39,"70,000-89,999",Intraday Trader,"$50,000-99,999",No,690-719,Bachelors,"$1,000-79,999",0
325,Female,18-39,"70,000-89,999",Position Trader,"$50,000-99,999",No,630-689,PhD,"$1,000-79,999",0
326,Male,60+,"110,000-129,999",Swing Trader,"$50,000-99,999",Not sure,690-719,High School,"$1,000-79,999",0
327,Female,18-39,"20,000-49,000",Scalp Trader,"100,000-149,999",Yes,690-719,Masters,"$80,000-149,999",0
328,Female,40-59,"90,000-109,999",Intraday Trader,"$10,000-49,999",Not sure,690-719,PhD,"$80,000-149,999",1
329,Female,18-39,"20,000-49,000",One Day,"$50,000-99,999",Not sure,630-689,Masters,"$1,000-79,999",2
330,Male,18-39,"130,000+",Scalp Trader,"100,000-149,999",No,690-719,Bachelors,"$80,000-149,999",0
331,Female,40-59,"90,000-109,999",Intraday Trader,"$10,000-49,999",No,630-689,Bachelors,"$1,000-79,999",0
332,Male,18-39,"70,000-89,999",One Day,"$50,000-99,999",No,690-719,Masters,"$1,000-79,999",1
333,Female,18-39,"20,000-49,000",Position Trader,"$50,000-99,999",Not sure,690-719,High School,"150,000+",0
334,Female,40-59,"110,000-129,999",Scalp Trader,"$10,000-49,999",Not sure,630-689,PhD,"$80,000-149,999",0
335,Male,18-39,"130,000+",Swing Trader,"$150,000+",No,690-719,Bachelors,"$80,000-149,999",0
336,Male,40-59,"50,000-69,999",Swing Trader,"$50,000-99,999",No,300-629,Masters,"$1,000-79,999",2
337,Other,40-59,"110,000-129,999",Scalp Trader,"100,000-149,999",No,690-719,High School,"$80,000-149,999",0
338,Other,18-39,"50,000-69,999",One Day,"100,000-149,999",Not sure,690-719,High School,"150,000+",1
339,Female,40-59,"130,000+",Swing Trader,"$50,000-99,999",Yes,630-689,Bachelors,"$80,000-149,999",0
340,Other,40-59,"110,000-129,999",Position Trader,"$10,000-49,999",Yes,630-689,Bachelors,"$80,000-149,999",1
341,Other,40-59,"90,000-109,999",One Day,"$150,000+",Yes,720-850,Bachelors,"$80,000-149,999",1
342,Other,40-59,"130,000+",Scalp Trader,"$150,000+",No,690-719,High School,"$80,000-149,999",1
343,Other,18-39,"50,000-69,999",Scalp Trader,"$50,000-99,999",Not sure,690-719,Bachelors,"$1,000-79,999",0
344,Male,40-59,"130,000+",Intraday Trader,"$10,000-49,999",Yes,300-629,Bachelors,"$80,000-149,999",1
345,Female,60+,"110,000-129,999",Position Trader,"$10,000-49,999",Not sure,630-689,Masters,"150,000+",1
346,Female,40-59,"110,000-129,999",One Day,"$50,000-99,999",Yes,690-719,High School,"$1,000-79,999",1
347,Female,60+,"90,000-109,999",Intraday Trader,"$10,000-49,999",No,690-719,PhD,"$80,000-149,999",1
348,Female,40-59,"130,000+",Scalp Trader,"$10,000-49,999",Yes,690-719,Bachelors,"$80,000-149,999",2
349,Male,60+,"110,000-129,999",Position Trader,"100,000-149,999",Yes,300-629,Masters,"$1,000-79,999",0
350,Female,18-39,"20,000-49,000",Scalp Trader,"$150,000+",Yes,300-629,PhD,"$1,000-79,999",0
351,Female,60+,"90,000-109,999",Intraday Trader,"100,000-149,999",No,300-629,Bachelors,"$80,000-149,999",2
352,Male,40-59,"50,000-69,999",Scalp Trader,"$150,000+",No,720-850,Bachelors,"$80,000-149,999",0
353,Male,18-39,"130,000+",Position Trader,"100,000-149,999",Not sure,300-629,Masters,"$1,000-79,999",2
354,Female,18-39,"50,000-69,999",Position Trader,"$150,000+",Yes,690-719,High School,"150,000+",2
355,Male,40-59,"50,000-69,999",Scalp Trader,"$50,000-99,999",Yes,690-719,Masters,"$80,000-149,999",2
356,Female,60+,"20,000-49,000",Position Trader,"$150,000+",Yes,690-719,High School,"150,000+",2
357,Female,18-39,"70,000-89,999",One Day,"$50,000-99,999",Not sure,690-719,Bachelors,"$1,000-79,999",2
358,Female,40-59,"90,000-109,999",Scalp Trader,"$150,000+",Yes,630-689,Masters,"150,000+",1
359,Other,60+,"90,000-109,999",Position Trader,"$50,000-99,999",Not sure,720-850,High School,"$80,000-149,999",1
360,Male,40-59,"130,000+",One Day,"$150,000+",No,690-719,Masters,"$1,000-79,999",2
361,Male,60+,"50,000-69,999",One Day,"$150,000+",Not sure,690-719,PhD,"$1,000-79,999",1
362,Other,18-39,"70,000-89,999",One Day,"100,000-149,999",Not sure,690-719,Bachelors,"$1,000-79,999",0
363,Female,18-39,"130,000+",Position Trader,"$10,000-49,999",Yes,630-689,Bachelors,"$1,000-79,999",2
364,Other,60+,"90,000-109,999",Intraday Trader,"$50,000-99,999",No,300-629,High School,"$1,000-79,999",0
365,Female,60+,"110,000-129,999",Scalp Trader,"$10,000-49,999",Yes,300-629,High School,"$80,000-149,999",0
366,Other,40-59,"50,000-69,999",One Day,"$150,000+",Yes,630-689,Bachelors,"$1,000-79,999",2
367,Female,60+,"70,000-89,999",One Day,"$10,000-49,999",Yes,630-689,PhD,"$80,000-149,999",2
368,Female,60+,"90,000-109,999",Scalp Trader,"$150,000+",No,720-850,Bachelors,"150,000+",2
369,Male,60+,"20,000-49,000",One Day,"$10,000-49,999",Yes,690-719,Bachelors,"$80,000-149,999",2
370,Female,60+,"20,000-49,000",One Day,"$50,000-99,999",Not sure,300-629,High School,"$80,000-149,999",2
371,Male,18-39,"20,000-49,000",One Day,"$50,000-99,999",Yes,690-719,PhD,"$1,000-79,999",0
372,Male,18-39,"70,000-89,999",One Day,"100,000-149,999",No,720-850,Masters,"$80,000-149,999",1
373,Female,18-39,"20,000-49,000",One Day,"100,000-149,999",No,720-850,Bachelors,"150,000+",0
374,Male,18-39,"90,000-109,999",One Day,"$150,000+",Yes,690-719,PhD,"$1,000-79,999",2
375,Female,60+,"20,000-49,000",Swing Trader,"100,000-149,999",Yes,720-850,Masters,"$1,000-79,999",0
376,Other,18-39,"50,000-69,999",Scalp Trader,"$50,000-99,999",No,300-629,Bachelors,"150,000+",0
377,Female,60+,"70,000-89,999",Scalp Trader,"$10,000-49,999",No,300-629,Bachelors,"$1,000-79,999",2
378,Female,40-59,"20,000-49,000",Intraday Trader,"$150,000+",Not sure,720-850,Bachelors,"$1,000-79,999",1
379,Male,40-59,"50,000-69,999",Swing Trader,"100,000-149,999",Yes,720-850,Bachelors,"$80,000-149,999",0
380,Female,18-39,"20,000-49,000",Scalp Trader,"100,000-149,999",Not sure,630-689,Masters,"$80,000-149,999",0
381,Female,18-39,"130,000+",Position Trader,"100,000-149,999",No,690-719,Masters,"$80,000-149,999",0
382,Other,18-39,"90,000-109,999",One Day,"100,000-149,999",Yes,300-629,Bachelors,"$80,000-149,999",2
383,Male,60+,"70,000-89,999",One Day,"100,000-149,999",No,690-719,Bachelors,"$1,000-79,999",2
384,Male,60+,"20,000-49,000",One Day,"100,000-149,999",Yes,690-719,PhD,"$80,000-149,999",0
385,Male,18-39,"70,000-89,999",Intraday Trader,"100,000-149,999",Yes,630-689,Bachelors,"$1,000-79,999",0
386,Female,40-59,"70,000-89,999",Scalp Trader,"100,000-149,999",No,690-719,Masters,"150,000+",0
387,Female,18-39,"130,000+",One Day,"$10,000-49,999",No,690-719,PhD,"$1,000-79,999",1
388,Male,18-39,"50,000-69,999",Scalp Trader,"$150,000+",No,720-850,Masters,"$80,000-149,999",2
389,Female,60+,"90,000-109,999",Position Trader,"$150,000+",Yes,720-850,Bachelors,"$80,000-149,999",2
390,Male,60+,"110,000-129,999",One Day,"$50,000-99,999",Yes,720-850,Bachelors,"$1,000-79,999",2
391,Female,18-39,"20,000-49,000",Swing Trader,"100,000-149,999",Yes,690-719,Masters,"$1,000-79,999",2
392,Male,60+,"90,000-109,999",Scalp Trader,"$150,000+",No,300-629,Masters,"$1,000-79,999",0
393,Male,18-39,"110,000-129,999",One Day,"100,000-149,999",No,630-689,PhD,"$80,000-149,999",0
394,Female,18-39,"20,000-49,000",Intraday Trader,"$150,000+",No,720-850,Bachelors,"$80,000-149,999",1
395,Other,60+,"90,000-109,999",Intraday Trader,"$10,000-49,999",Yes,630-689,Bachelors,"$80,000-149,999",1
396,Female,60+,"20,000-49,000",Intraday Trader,"$150,000+",No,630-689,Bachelors,"$80,000-149,999",0
397,Female,40-59,"20,000-49,000",One Day,"$150,000+",No,690-719,Masters,"150,000+",2
398,Female,60+,"20,000-49,000",Position Trader,"$50,000-99,999",No,720-850,Bachelors,"$1,000-79,999",0
399,Female,60+,"70,000-89,999",Scalp Trader,"$50,000-99,999",No,630-689,PhD,"$1,000-79,999",2
400,Other,40-59,"130,000+",Intraday Trader,"100,000-149,999",Not sure,690-719,Masters,"$1,000-79,999",0
401,Other,18-39,"70,000-89,999",One Day,"100,000-149,999",No,630-689,Bachelors,"150,000+",2
402,Male,60+,"20,000-49,000",Scalp Trader,"100,000-149,999",Yes,630-689,Bachelors,"$80,000-149,999",0
403,Female,40-59,"130,000+",One Day,"$10,000-49,999",Yes,300-629,Bachelors,"$80,000-149,999",0
404,Female,40-59,"90,000-109,999",Position Trader,"$50,000-99,999",No,300-629,Bachelors,"$1,000-79,999",1
405,Other,60+,"50,000-69,999",Scalp Trader,"$10,000-49,999",Yes,300-629,Bachelors,"150,000+",2
406,Male,60+,"130,000+",Scalp Trader,"$10,000-49,999",No,690-719,Bachelors,"$80,000-149,999",0
407,Male,18-39,"130,000+",One Day,"$150,000+",Yes,690-719,Bachelors,"$1,000-79,999",2
408,Male,18-39,"50,000-69,999",Position Trader,"$10,000-49,999",Yes,300-629,Bachelors,"$80,000-149,999",0
409,Female,18-39,"50,000-69,999",One Day,"100,000-149,999",No,630-689,Bachelors,"$1,000-79,999",0
410,Male,40-59,"90,000-109,999",Intraday Trader,"$50,000-99,999",Yes,300-629,Bachelors,"$80,000-149,999",2
411,Female,40-59,"130,000+",Scalp Trader,"$150,000+",No,720-850,Bachelors,"150,000+",0
412,Other,60+,"50,000-69,999",Swing Trader,"100,000-149,999",No,630-689,Masters,"$1,000-79,999",0
413,Female,60+,"90,000-109,999",Intraday Trader,"$150,000+",Yes,630-689,High School,"$1,000-79,999",2
414,Female,18-39,"20,000-49,000",Scalp Trader,"100,000-149,999",No,720-850,PhD,"$80,000-149,999",2
415,Male,60+,"50,000-69,999",Intraday Trader,"100,000-149,999",No,630-689,Bachelors,"$80,000-149,999",2
416,Other,60+,"110,000-129,999",One Day,"$50,000-99,999",Not sure,630-689,High School,"150,000+",0
417,Female,60+,"20,000-49,000",One Day,"$50,000-99,999",Yes,720-850,Masters,"$1,000-79,999",0
418,Other,18-39,"50,000-69,999",One Day,"100,000-149,999",No,300-629,High School,"150,000+",2
419,Female,18-39,"110,000-129,999",Swing Trader,"$50,000-99,999",Not sure,300-629,Bachelors,"$80,000-149,999",2
420,Male,18-39,"20,000-49,000",Swing Trader,"$10,000-49,999",Yes,720-850,Masters,"$1,000-79,999",0
421,Male,18-39,"20,000-49,000",Position Trader,"100,000-149,999",No,630-689,PhD,"150,000+",2
422,Male,18-39,"50,000-69,999",Position Trader,"$10,000-49,999",No,630-689,PhD,"$80,000-149,999",0
423,Male,18-39,"50,000-69,999",Scalp Trader,"$150,000+",Not sure,720-850,Bachelors,"$80,000-149,999",0
424,Female,18-39,"70,000-89,999",One Day,"$50,000-99,999",Yes,630-689,PhD,"$80,000-149,999",2
425,Male,60+,"130,000+",One Day,"100,000-149,999",No,300-629,PhD,"$80,000-149,999",2
426,Male,40-59,"20,000-49,000",Swing Trader,"$50,000-99,999",No,720-850,High School,"$80,000-149,999",0
427,Female,18-39,"50,000-69,999",Swing Trader,"$150,000+",Yes,300-629,Masters,"$80,000-149,999",1
428,Female,40-59,"90,000-109,999",Swing Trader,"$150,000+",No,630-689,Masters,"$1,000-79,999",1
429,Female,40-59,"20,000-49,000",Intraday Trader,"$50,000-99,999",No,300-629,Masters,"$80,000-149,999",1
430,Female,18-39,"130,000+",One Day,"$10,000-49,999",No,630-689,Bachelors,"$1,000-79,999",1
431,Female,60+,"90,000-109,999",Swing Trader,"$50,000-99,999",Yes,630-689,High School,"$80,000-149,999",2
432,Female,60+,"20,000-49,000",One Day,"100,000-149,999",Yes,690-719,Bachelors,"$1,000-79,999",1
433,Female,60+,"50,000-69,999",Swing Trader,"$50,000-99,999",Yes,300-629,High School,"150,000+",2
434,Other,60+,"110,000-129,999",Swing Trader,"$150,000+",Yes,690-719,Bachelors,"150,000+",0
435,Female,18-39,"70,000-89,999",Position Trader,"$150,000+",No,720-850,PhD,"$1,000-79,999",0
436,Other,40-59,"70,000-89,999",One Day,"$50,000-99,999",No,690-719,Bachelors,"$1,000-79,999",2
437,Male,18-39,"130,000+",One Day,"$50,000-99,999",No,630-689,High School,"$80,000-149,999",1
438,Female,18-39,"20,000-49,000",Scalp Trader,"$10,000-49,999",No,720-850,PhD,"$1,000-79,999",0
439,Male,60+,"130,000+",Intraday Trader,"100,000-149,999",No,720-850,High School,"150,000+",0
440,Female,18-39,"20,000-49,000",One Day,"$50,000-99,999",Yes,690-719,Masters,"$1,000-79,999",2
441,Male,60+,"20,000-49,000",One Day,"$10,000-49,999",No,690-719,Bachelors,"$1,000-79,999",2
442,Female,60+,"50,000-69,999",One Day,"$10,000-49,999",Yes,690-719,High School,"150,000+",2
443,Male,60+,"130,000+",Scalp Trader,"$50,000-99,999",No,300-629,Bachelors,"$1,000-79,999",1
444,Other,18-39,"70,000-89,999",One Day,"$50,000-99,999",No,630-689,Bachelors,"$80,000-149,999",2
445,Other,60+,"110,000-129,999",Position Trader,"$10,000-49,999",Yes,720-850,Masters,"$1,000-79,999",2
446,Female,40-59,"20,000-49,000",One Day,"$150,000+",Yes,690-719,High School,"$1,000-79,999",2
447,Other,18-39,"20,000-49,000",Scalp Trader,"$150,000+",No,720-850,Bachelors,"150,000+",2
448,Male,18-39,"90,000-109,999",Swing Trader,"100,000-149,999",Yes,690-719,Bachelors,"$1,000-79,999",0
449,Male,18-39,"110,000-129,999",Position Trader,"$10,000-49,999",Yes,720-850,Bachelors,"$80,000-149,999",2
450,Male,40-59,"70,000-89,999",One Day,"$10,000-49,999",Yes,630-689,Masters,"$1,000-79,999",0
451,Female,18-39,"130,000+",Swing Trader,"$150,000+",Not sure,690-719,Bachelors,"$80,000-149,999",2
452,Other,18-39,"110,000-129,999",One Day,"100,000-149,999",Not sure,720-850,Bachelors,"$1,000-79,999",1
453,Other,18-39,"50,000-69,999",Position Trader,"$10,000-49,999",No,300-629,High School,"$80,000-149,999",2
454,Female,40-59,"50,000-69,999",Scalp Trader,"$50,000-99,999",Yes,690-719,Masters,"$1,000-79,999",2
455,Female,40-59,"70,000-89,999",Scalp Trader,"$150,000+",Not sure,690-719,PhD,"$80,000-149,999",0
456,Other,60+,"110,000-129,999",One Day,"100,000-149,999",Yes,630-689,PhD,"$1,000-79,999",2
457,Female,18-39,"130,000+",Scalp Trader,"$10,000-49,999",No,690-719,PhD,"$80,000-149,999",0
458,Male,40-59,"130,000+",Scalp Trader,"100,000-149,999",Not sure,300-629,Bachelors,"$1,000-79,999",0
459,Male,18-39,"50,000-69,999",Position Trader,"$10,000-49,999",Not sure,720-850,Bachelors,"$80,000-149,999",2
460,Male,40-59,"70,000-89,999",Position Trader,"$50,000-99,999",Yes,630-689,Masters,"$80,000-149,999",2
461,Other,60+,"90,000-109,999",One Day,"100,000-149,999",No,690-719,Masters,"$80,000-149,999",2
462,Male,60+,"90,000-109,999",One Day,"100,000-149,999",Not sure,630-689,PhD,"$1,000-79,999",0
463,Male,18-39,"70,000-89,999",Swing Trader,"$150,000+",No,630-689,Bachelors,"$1,000-79,999",0
464,Other,18-39,"20,000-49,000",Scalp Trader,"$50,000-99,999",No,720-850,Bachelors,"$80,000-149,999",0
465,Male,18-39,"110,000-129,999",One Day,"100,000-149,999",No,720-850,Masters,"$1,000-79,999",1
466,Other,18-39,"20,000-49,000",Swing Trader,"$10,000-49,999",Not sure,630-689,Bachelors,"150,000+",2
467,Male,18-39,"130,000+",Position Trader,"$50,000-99,999",No,300-629,Bachelors,"$80,000-149,999",1
468,Female,40-59,"130,000+",Intraday Trader,"100,000-149,999",Not sure,690-719,Masters,"$1,000-79,999",0
469,Male,18-39,"110,000-129,999",One Day,"$10,000-49,999",No,300-629,Masters,"$1,000-79,999",0
470,Other,18-39,"70,000-89,999",Scalp Trader,"100,000-149,999",Not sure,690-719,High School,"$1,000-79,999",2
471,Female,40-59,"110,000-129,999",Intraday Trader,"100,000-149,999",No,630-689,Bachelors,"$80,000-149,999",2
472,Female,18-39,"70,000-89,999",One Day,"$150,000+",Not sure,300-629,PhD,"150,000+",2
473,Female,18-39,"110,000-129,999",Intraday Trader,"$150,000+",No,300-629,High School,"150,000+",2
474,Other,40-59,"110,000-129,999",One Day,"$10,000-49,999",Yes,720-850,Bachelors,"150,000+",2
475,Male,18-39,"20,000-49,000",Scalp Trader,"100,000-149,999",Not sure,300-629,Bachelors,"$80,000-149,999",0
476,Female,40-59,"50,000-69,999",Position Trader,"100,000-149,999",Yes,630-689,Masters,"$1,000-79,999",0
477,Other,40-59,"50,000-69,999",Position Trader,"100,000-149,999",Yes,300-629,PhD,"$80,000-149,999",0
478,Male,40-59,"70,000-89,999",One Day,"$150,000+",Not sure,300-629,Masters,"150,000+",0
479,Female,18-39,"90,000-109,999",Scalp Trader,"$50,000-99,999",Not sure,630-689,Bachelors,"$1,000-79,999",2
480,Male,18-39,"20,000-49,000",One Day,"$50,000-99,999",No,300-629,Bachelors,"$1,000-79,999",0
481,Other,18-39,"110,000-129,999",Position Trader,"100,000-149,999",No,690-719,Masters,"$80,000-149,999",2
482,Female,60+,"50,000-69,999",Position Trader,"100,000-149,999",Not sure,300-629,Masters,"$80,000-149,999",0
483,Female,60+,"70,000-89,999",Scalp Trader,"$50,000-99,999",Yes,720-850,Bachelors,"150,000+",0
484,Female,60+,"70,000-89,999",Position Trader,"100,000-149,999",No,720-850,Bachelors,"150,000+",0
485,Female,18-39,"50,000-69,999",Scalp Trader,"$50,000-99,999",Yes,300-629,Masters,"$1,000-79,999",0
486,Male,60+,"70,000-89,999",Swing Trader,"100,000-149,999",No,300-629,Bachelors,"$1,000-79,999",2
487,Male,60+,"20,000-49,000",Swing Trader,"$50,000-99,999",Yes,690-719,Bachelors,"$80,000-149,999",2
488,Female,18-39,"20,000-49,000",Scalp Trader,"$150,000+",Yes,690-719,Bachelors,"$80,000-149,999",2
489,Male,18-39,"90,000-109,999",Swing Trader,"$150,000+",No,690-719,Masters,"$80,000-149,999",0
490,Female,40-59,"90,000-109,999",Position Trader,"$150,000+",No,690-719,High School,"150,000+",2
491,Other,18-39,"20,000-49,000",Position Trader,"$50,000-99,999",No,690-719,Bachelors,"$1,000-79,999",2
492,Female,40-59,"50,000-69,999",Scalp Trader,"$50,000-99,999",No,690-719,PhD,"150,000+",0
493,Male,18-39,"50,000-69,999",Position Trader,"100,000-149,999",No,690-719,High School,"$1,000-79,999",0
494,Female,60+,"130,000+",Swing Trader,"$10,000-49,999",No,300-629,PhD,"$80,000-149,999",2
495,Other,40-59,"20,000-49,000",One Day,"100,000-149,999",Yes,300-629,High School,"$1,000-79,999",0
496,Other,60+,"90,000-109,999",Scalp Trader,"$50,000-99,999",No,690-719,Bachelors,"$80,000-149,999",2
497,Other,40-59,"90,000-109,999",Intraday Trader,"$50,000-99,999",Yes,720-850,Bachelors,"$80,000-149,999",0
498,Other,40-59,"50,000-69,999",One Day,"$50,000-99,999",Yes,300-629,Bachelors,"$80,000-149,999",2
499,Male,60+,"50,000-69,999",Position Trader,"$10,000-49,999",Yes,690-719,Masters,"$1,000-79,999",0
500,Male,18-39,"130,000+",Intraday Trader,"$150,000+",No,690-719,PhD,"$1,000-79,999",2
